date,route,fuel_consumption_kg
03/01/2019,Hamburg-Munich,4594.78
03/01/2019,Cologne-Berlin,5429.63
03/01/2019,Cologne-Munich,5145.97
03/01/2019,Cologne-Frankfurt,5029.23
03/01/2019,Cologne-Stuttgart,5544.67
04/01/2019,Berlin-Dortmund,5712.4
04/01/2019,Berlin-Munich,5672.51
04/01/2019,Berlin-Frankfurt,4964.31
04/01/2019,Berlin-Stuttgart,5176.32
04/01/2019,Dortmund-Munich,5432.51
04/01/2019,Dortmund-Frankfurt,5690.22
04/01/2019,Dortmund-Stuttgart,5108.33
04/01/2019,Munich-Frankfurt,5225.74
04/01/2019,Munich-Stuttgart,4857.47
04/01/2019,Frankfurt-Stuttgart,4821.52
04/01/2019,Hamburg-Berlin,5625.01
04/01/2019,Hamburg-Frankfurt,5842.5
04/01/2019,Hamburg-Stuttgart,5271.2
04/01/2019,Hamburg-Munich,5701.41
04/01/2019,Cologne-Berlin,5444.65
04/01/2019,Cologne-Munich,5041.95
04/01/2019,Cologne-Frankfurt,5444.56
04/01/2019,Cologne-Stuttgart,5915.21
05/01/2019,Berlin-Dortmund,5285.67
05/01/2019,Berlin-Munich,5925.86
05/01/2019,Berlin-Frankfurt,4252.1
05/01/2019,Berlin-Stuttgart,5628.76
05/01/2019,Dortmund-Munich,5334.82
05/01/2019,Dortmund-Frankfurt,5180.4
05/01/2019,Dortmund-Stuttgart,5336.7
05/01/2019,Munich-Frankfurt,4504.97
05/01/2019,Munich-Stuttgart,5212.13
05/01/2019,Frankfurt-Stuttgart,5442.85
05/01/2019,Hamburg-Berlin,5891.16
05/01/2019,Hamburg-Frankfurt,5092.69
05/01/2019,Hamburg-Stuttgart,4976.6
05/01/2019,Hamburg-Munich,5099.3
05/01/2019,Cologne-Berlin,5666.16
05/01/2019,Cologne-Munich,5431.5
05/01/2019,Cologne-Frankfurt,5088.1
05/01/2019,Cologne-Stuttgart,5505.31
06/01/2019,Berlin-Dortmund,5338.83
06/01/2019,Berlin-Munich,5687.46
06/01/2019,Berlin-Frankfurt,5019.18
06/01/2019,Berlin-Stuttgart,5168.94
06/01/2019,Dortmund-Munich,5143.16
06/01/2019,Dortmund-Frankfurt,4714.59
06/01/2019,Dortmund-Stuttgart,5418.45
06/01/2019,Munich-Frankfurt,5404.42
06/01/2019,Munich-Stuttgart,5302.05
06/01/2019,Frankfurt-Stuttgart,5206.17
06/01/2019,Hamburg-Berlin,4733.85
06/01/2019,Hamburg-Frankfurt,5131.74
06/01/2019,Hamburg-Stuttgart,5162.91
06/01/2019,Hamburg-Munich,4979.09
06/01/2019,Cologne-Berlin,5235.49
06/01/2019,Cologne-Munich,5461.62
06/01/2019,Cologne-Frankfurt,6054.47
06/01/2019,Cologne-Stuttgart,5369.83
07/01/2019,Berlin-Dortmund,5403.02
07/01/2019,Berlin-Munich,5270.22
07/01/2019,Berlin-Frankfurt,4532.49
07/01/2019,Berlin-Stuttgart,5289.39
07/01/2019,Dortmund-Munich,5324.09
07/01/2019,Dortmund-Frankfurt,6285.3
07/01/2019,Dortmund-Stuttgart,5223.06
07/01/2019,Munich-Frankfurt,5420.62
07/01/2019,Munich-Stuttgart,5286.12
07/01/2019,Frankfurt-Stuttgart,4832.53
07/01/2019,Hamburg-Berlin,5757.13
07/01/2019,Hamburg-Frankfurt,5600.77
07/01/2019,Hamburg-Stuttgart,5616.41
07/01/2019,Hamburg-Munich,4936.25
07/01/2019,Cologne-Berlin,5861.12
07/01/2019,Cologne-Munich,4739.26
07/01/2019,Cologne-Frankfurt,5534.74
07/01/2019,Cologne-Stuttgart,6176.18
08/01/2019,Berlin-Dortmund,4903.79
08/01/2019,Berlin-Munich,5073.48
08/01/2019,Berlin-Frankfurt,5339.86
08/01/2019,Berlin-Stuttgart,5098.61
08/01/2019,Dortmund-Munich,4679.73
08/01/2019,Dortmund-Frankfurt,5327.43
08/01/2019,Dortmund-Stuttgart,4875.08
08/01/2019,Munich-Frankfurt,5489.44
08/01/2019,Munich-Stuttgart,4932.23
08/01/2019,Frankfurt-Stuttgart,5919.97
08/01/2019,Hamburg-Berlin,4986.7
08/01/2019,Hamburg-Frankfurt,5171.18
08/01/2019,Hamburg-Stuttgart,5625.41
08/01/2019,Hamburg-Munich,4807.65
08/01/2019,Cologne-Berlin,5390.98
08/01/2019,Cologne-Munich,5822.86
08/01/2019,Cologne-Frankfurt,4657.01
08/01/2019,Cologne-Stuttgart,5373.85
09/01/2019,Berlin-Dortmund,5403.95
09/01/2019,Berlin-Munich,5612.73
09/01/2019,Berlin-Frankfurt,4805.22
09/01/2019,Berlin-Stuttgart,4771.82
09/01/2019,Dortmund-Munich,5508.78
09/01/2019,Dortmund-Frankfurt,5418.79
09/01/2019,Dortmund-Stuttgart,5400.2
09/01/2019,Munich-Frankfurt,5438.58
09/01/2019,Munich-Stuttgart,5027.99
09/01/2019,Frankfurt-Stuttgart,5392.9
09/01/2019,Hamburg-Berlin,5417.23
09/01/2019,Hamburg-Frankfurt,5014.26
09/01/2019,Hamburg-Stuttgart,6046.31
09/01/2019,Hamburg-Munich,5489.53
09/01/2019,Cologne-Berlin,4823.48
09/01/2019,Cologne-Munich,5562.62
09/01/2019,Cologne-Frankfurt,4910.13
09/01/2019,Cologne-Stuttgart,5614.83
10/01/2019,Berlin-Dortmund,5763.44
10/01/2019,Berlin-Munich,4971.73
10/01/2019,Berlin-Frankfurt,5685.35
10/01/2019,Berlin-Stuttgart,5465.11
10/01/2019,Dortmund-Munich,5628.82
10/01/2019,Dortmund-Frankfurt,6058.72
10/01/2019,Dortmund-Stuttgart,5201.84
10/01/2019,Munich-Frankfurt,4998.51
10/01/2019,Munich-Stuttgart,4944.19
10/01/2019,Frankfurt-Stuttgart,4973.68
10/01/2019,Hamburg-Berlin,5269.16
10/01/2019,Hamburg-Frankfurt,5436.46
10/01/2019,Hamburg-Stuttgart,5410.68
10/01/2019,Hamburg-Munich,5630.87
10/01/2019,Cologne-Berlin,5305.2
10/01/2019,Cologne-Munich,5881.41
10/01/2019,Cologne-Frankfurt,5194.14
10/01/2019,Cologne-Stuttgart,6388.07
11/01/2019,Berlin-Dortmund,5550.27
11/01/2019,Berlin-Munich,4957.14
11/01/2019,Berlin-Frankfurt,4871.64
11/01/2019,Berlin-Stuttgart,5492.99
11/01/2019,Dortmund-Munich,5210.61
11/01/2019,Dortmund-Frankfurt,5585.6
11/01/2019,Dortmund-Stuttgart,5489.3
11/01/2019,Munich-Frankfurt,5270.87
11/01/2019,Munich-Stuttgart,4961.28
11/01/2019,Frankfurt-Stuttgart,4694.06
11/01/2019,Hamburg-Berlin,5121.39
11/01/2019,Hamburg-Frankfurt,5642.56
11/01/2019,Hamburg-Stuttgart,5385.64
11/01/2019,Hamburg-Munich,4801.7
11/01/2019,Cologne-Berlin,5369.27
11/01/2019,Cologne-Munich,5454.13
11/01/2019,Cologne-Frankfurt,4946.46
11/01/2019,Cologne-Stuttgart,5361.49
12/01/2019,Berlin-Dortmund,5323.28
12/01/2019,Berlin-Munich,4842.81
12/01/2019,Berlin-Frankfurt,5443.11
12/01/2019,Berlin-Stuttgart,5524.31
12/01/2019,Dortmund-Munich,5733.22
12/01/2019,Dortmund-Frankfurt,5721.52
12/01/2019,Dortmund-Stuttgart,4748.93
12/01/2019,Munich-Frankfurt,4924.87
12/01/2019,Munich-Stuttgart,5506.01
12/01/2019,Frankfurt-Stuttgart,5505.51
12/01/2019,Hamburg-Berlin,5506.02
12/01/2019,Hamburg-Frankfurt,6841.09
12/01/2019,Hamburg-Stuttgart,5528.36
12/01/2019,Hamburg-Munich,5754.23
12/01/2019,Cologne-Berlin,5681.6
12/01/2019,Cologne-Munich,5560.56
12/01/2019,Cologne-Frankfurt,5173.89
12/01/2019,Cologne-Stuttgart,5603.59
13/01/2019,Berlin-Dortmund,4990.87
13/01/2019,Berlin-Munich,5205.27
13/01/2019,Berlin-Frankfurt,5105.85
13/01/2019,Berlin-Stuttgart,5332.75
13/01/2019,Dortmund-Munich,6225.86
13/01/2019,Dortmund-Frankfurt,4553.09
13/01/2019,Dortmund-Stuttgart,5574.5
13/01/2019,Munich-Frankfurt,4654.91
13/01/2019,Munich-Stuttgart,5111.23
13/01/2019,Frankfurt-Stuttgart,5735.58
13/01/2019,Hamburg-Berlin,5325.71
13/01/2019,Hamburg-Frankfurt,4868.9
13/01/2019,Hamburg-Stuttgart,5013.88
13/01/2019,Hamburg-Munich,5571.84
13/01/2019,Cologne-Berlin,5007.85
13/01/2019,Cologne-Munich,5386.58
13/01/2019,Cologne-Frankfurt,5318.23
13/01/2019,Cologne-Stuttgart,5039.36
14/01/2019,Berlin-Dortmund,6157.58
14/01/2019,Berlin-Munich,5553.57
14/01/2019,Berlin-Frankfurt,4489.94
14/01/2019,Berlin-Stuttgart,5374.58
14/01/2019,Dortmund-Munich,5035.29
14/01/2019,Dortmund-Frankfurt,5640.97
14/01/2019,Dortmund-Stuttgart,4982.99
14/01/2019,Munich-Frankfurt,5254.11
14/01/2019,Munich-Stuttgart,5501.99
14/01/2019,Frankfurt-Stuttgart,5646.3
14/01/2019,Hamburg-Berlin,4819.88
14/01/2019,Hamburg-Frankfurt,5166.2
14/01/2019,Hamburg-Stuttgart,5110.02
14/01/2019,Hamburg-Munich,5038.67
14/01/2019,Cologne-Berlin,6006.18
14/01/2019,Cologne-Munich,5461.99
14/01/2019,Cologne-Frankfurt,4795.65
14/01/2019,Cologne-Stuttgart,5667.14
15/01/2019,Berlin-Dortmund,6148.86
15/01/2019,Berlin-Munich,5712.99
15/01/2019,Berlin-Frankfurt,4692.25
15/01/2019,Berlin-Stuttgart,5106.31
15/01/2019,Dortmund-Munich,5806.76
15/01/2019,Dortmund-Frankfurt,5016.93
15/01/2019,Dortmund-Stuttgart,5477.53
15/01/2019,Munich-Frankfurt,5609.85
15/01/2019,Munich-Stuttgart,4929.23
15/01/2019,Frankfurt-Stuttgart,5276.19
15/01/2019,Hamburg-Berlin,4003.49
15/01/2019,Hamburg-Frankfurt,4890.24
15/01/2019,Hamburg-Stuttgart,5198.97
15/01/2019,Hamburg-Munich,4800.89
15/01/2019,Cologne-Berlin,5952.96
15/01/2019,Cologne-Munich,4727.94
15/01/2019,Cologne-Frankfurt,5123.98
15/01/2019,Cologne-Stuttgart,5352.3
16/01/2019,Berlin-Dortmund,5876.51
16/01/2019,Berlin-Munich,4725.66
16/01/2019,Berlin-Frankfurt,5765.27
16/01/2019,Berlin-Stuttgart,5304.09
16/01/2019,Dortmund-Munich,4907.4
16/01/2019,Dortmund-Frankfurt,5484.84
16/01/2019,Dortmund-Stuttgart,5379.62
16/01/2019,Munich-Frankfurt,5059.91
16/01/2019,Munich-Stuttgart,5327.92
16/01/2019,Frankfurt-Stuttgart,5145.87
16/01/2019,Hamburg-Berlin,5345.41
16/01/2019,Hamburg-Frankfurt,5564.85
16/01/2019,Hamburg-Stuttgart,5934.41
16/01/2019,Hamburg-Munich,4804.87
16/01/2019,Cologne-Berlin,6153.21
16/01/2019,Cologne-Munich,4519.16
16/01/2019,Cologne-Frankfurt,5239.29
16/01/2019,Cologne-Stuttgart,5535.33
17/01/2019,Berlin-Dortmund,5412.4
17/01/2019,Berlin-Munich,5050.92
17/01/2019,Berlin-Frankfurt,5216.75
17/01/2019,Berlin-Stuttgart,5102.8
17/01/2019,Dortmund-Munich,5064.25
17/01/2019,Dortmund-Frankfurt,5639.84
17/01/2019,Dortmund-Stuttgart,5442.81
17/01/2019,Munich-Frankfurt,5022.84
17/01/2019,Munich-Stuttgart,5659.84
17/01/2019,Frankfurt-Stuttgart,5422.92
17/01/2019,Hamburg-Berlin,5625.14
17/01/2019,Hamburg-Frankfurt,5551.85
17/01/2019,Hamburg-Stuttgart,4968.4
17/01/2019,Hamburg-Munich,5075.93
17/01/2019,Cologne-Berlin,5598.92
17/01/2019,Cologne-Munich,5544.15
17/01/2019,Cologne-Frankfurt,5291.64
17/01/2019,Cologne-Stuttgart,5346.93
18/01/2019,Berlin-Dortmund,5811.07
18/01/2019,Berlin-Munich,5063.37
18/01/2019,Berlin-Frankfurt,5518.84
18/01/2019,Berlin-Stuttgart,5219.12
18/01/2019,Dortmund-Munich,5212.93
18/01/2019,Dortmund-Frankfurt,5739.51
18/01/2019,Dortmund-Stuttgart,5630.17
18/01/2019,Munich-Frankfurt,5625.4
18/01/2019,Munich-Stuttgart,5822.19
18/01/2019,Frankfurt-Stuttgart,5308.4
18/01/2019,Hamburg-Berlin,5572.78
18/01/2019,Hamburg-Frankfurt,5175.89
18/01/2019,Hamburg-Stuttgart,5429.67
18/01/2019,Hamburg-Munich,5247.94
18/01/2019,Cologne-Berlin,5338.8
18/01/2019,Cologne-Munich,5538.06
18/01/2019,Cologne-Frankfurt,4972.71
18/01/2019,Cologne-Stuttgart,6136.95
19/01/2019,Berlin-Dortmund,4897.59
19/01/2019,Berlin-Munich,4814.32
19/01/2019,Berlin-Frankfurt,5763.24
19/01/2019,Berlin-Stuttgart,5616.67
19/01/2019,Dortmund-Munich,5549.65
19/01/2019,Dortmund-Frankfurt,5551.34
19/01/2019,Dortmund-Stuttgart,5295.1
19/01/2019,Munich-Frankfurt,4941.1
19/01/2019,Munich-Stuttgart,5330.32
19/01/2019,Frankfurt-Stuttgart,5029.14
19/01/2019,Hamburg-Berlin,5690.05
19/01/2019,Hamburg-Frankfurt,5241.18
19/01/2019,Hamburg-Stuttgart,4969.8
19/01/2019,Hamburg-Munich,5171.45
19/01/2019,Cologne-Berlin,5465.17
19/01/2019,Cologne-Munich,5074.51
19/01/2019,Cologne-Frankfurt,4971.11
19/01/2019,Cologne-Stuttgart,5397.47
20/01/2019,Berlin-Dortmund,5397.99
20/01/2019,Berlin-Munich,5097.22
20/01/2019,Berlin-Frankfurt,5111.58
20/01/2019,Berlin-Stuttgart,5392.82
20/01/2019,Dortmund-Munich,4720.77
20/01/2019,Dortmund-Frankfurt,4737.01
20/01/2019,Dortmund-Stuttgart,5012.62
20/01/2019,Munich-Frankfurt,5214.62
20/01/2019,Munich-Stuttgart,5424.36
20/01/2019,Frankfurt-Stuttgart,5890.14
20/01/2019,Hamburg-Berlin,5643.06
20/01/2019,Hamburg-Frankfurt,5236.02
20/01/2019,Hamburg-Stuttgart,5292.39
20/01/2019,Hamburg-Munich,4898.99
20/01/2019,Cologne-Berlin,5292.59
20/01/2019,Cologne-Munich,5184.54
20/01/2019,Cologne-Frankfurt,5429.09
20/01/2019,Cologne-Stuttgart,4969.11
21/01/2019,Berlin-Dortmund,5507.74
21/01/2019,Berlin-Munich,5913.1
21/01/2019,Berlin-Frankfurt,5256.5
21/01/2019,Berlin-Stuttgart,5460.68
21/01/2019,Dortmund-Munich,5576.06
21/01/2019,Dortmund-Frankfurt,5139.51
21/01/2019,Dortmund-Stuttgart,5389.64
21/01/2019,Munich-Frankfurt,5305.04
21/01/2019,Munich-Stuttgart,5339.07
21/01/2019,Frankfurt-Stuttgart,4990.8
21/01/2019,Hamburg-Berlin,5309.8
21/01/2019,Hamburg-Frankfurt,5499.2
21/01/2019,Hamburg-Stuttgart,5880.46
21/01/2019,Hamburg-Munich,5683.71
21/01/2019,Cologne-Berlin,6161.27
21/01/2019,Cologne-Munich,4993.06
21/01/2019,Cologne-Frankfurt,5648.93
21/01/2019,Cologne-Stuttgart,5373.34
22/01/2019,Berlin-Dortmund,6175.92
22/01/2019,Berlin-Munich,4976.68
22/01/2019,Berlin-Frankfurt,4964.11
22/01/2019,Berlin-Stuttgart,5060.24
22/01/2019,Dortmund-Munich,4450.44
22/01/2019,Dortmund-Frankfurt,5089.7
22/01/2019,Dortmund-Stuttgart,4996.35
22/01/2019,Munich-Frankfurt,5360.16
22/01/2019,Munich-Stuttgart,5436.7
22/01/2019,Frankfurt-Stuttgart,6050.47
22/01/2019,Hamburg-Berlin,5680.17
22/01/2019,Hamburg-Frankfurt,5069.24
22/01/2019,Hamburg-Stuttgart,4940.63
22/01/2019,Hamburg-Munich,5496.77
22/01/2019,Cologne-Berlin,4771.91
22/01/2019,Cologne-Munich,6032.58
22/01/2019,Cologne-Frankfurt,5771.78
22/01/2019,Cologne-Stuttgart,5112.33
23/01/2019,Berlin-Dortmund,4614.75
23/01/2019,Berlin-Munich,5841.55
23/01/2019,Berlin-Frankfurt,5254.18
23/01/2019,Berlin-Stuttgart,5795.13
23/01/2019,Dortmund-Munich,4662.23
23/01/2019,Dortmund-Frankfurt,5060.25
23/01/2019,Dortmund-Stuttgart,5302.1
23/01/2019,Munich-Frankfurt,5318.79
23/01/2019,Munich-Stuttgart,5119.97
23/01/2019,Frankfurt-Stuttgart,5549.14
23/01/2019,Hamburg-Berlin,4872.95
23/01/2019,Hamburg-Frankfurt,5243.05
23/01/2019,Hamburg-Stuttgart,5348.12
23/01/2019,Hamburg-Munich,5505.78
23/01/2019,Cologne-Berlin,5584.65
23/01/2019,Cologne-Munich,4850.14
23/01/2019,Cologne-Frankfurt,4686.35
23/01/2019,Cologne-Stuttgart,5811.07
24/01/2019,Berlin-Dortmund,5432.93
24/01/2019,Berlin-Munich,5000.61
24/01/2019,Berlin-Frankfurt,5920.46
24/01/2019,Berlin-Stuttgart,5346.27
24/01/2019,Dortmund-Munich,5771.72
24/01/2019,Dortmund-Frankfurt,5327.01
24/01/2019,Dortmund-Stuttgart,6124.3
24/01/2019,Munich-Frankfurt,6002.14
24/01/2019,Munich-Stuttgart,5200.41
24/01/2019,Frankfurt-Stuttgart,5688.63
24/01/2019,Hamburg-Berlin,5558.15
24/01/2019,Hamburg-Frankfurt,5847.45
24/01/2019,Hamburg-Stuttgart,4914.03
24/01/2019,Hamburg-Munich,5574.42
24/01/2019,Cologne-Berlin,5723.37
24/01/2019,Cologne-Munich,4596.5
24/01/2019,Cologne-Frankfurt,4826.7
24/01/2019,Cologne-Stuttgart,4484.31
25/01/2019,Berlin-Dortmund,5192.24
25/01/2019,Berlin-Munich,5587.02
25/01/2019,Berlin-Frankfurt,5900.94
25/01/2019,Berlin-Stuttgart,5329.64
25/01/2019,Dortmund-Munich,5951.45
25/01/2019,Dortmund-Frankfurt,4747.96
25/01/2019,Dortmund-Stuttgart,4618.65
25/01/2019,Munich-Frankfurt,5277.78
25/01/2019,Munich-Stuttgart,5453.63
25/01/2019,Frankfurt-Stuttgart,5286.92
25/01/2019,Hamburg-Berlin,4473.02
25/01/2019,Hamburg-Frankfurt,5264.35
25/01/2019,Hamburg-Stuttgart,4778.21
25/01/2019,Hamburg-Munich,5567.87
25/01/2019,Cologne-Berlin,5446.64
25/01/2019,Cologne-Munich,4924.05
25/01/2019,Cologne-Frankfurt,5094.45
25/01/2019,Cologne-Stuttgart,4876.31
26/01/2019,Berlin-Dortmund,5274.93
26/01/2019,Berlin-Munich,5682.06
26/01/2019,Berlin-Frankfurt,4905.71
26/01/2019,Berlin-Stuttgart,5501.62
26/01/2019,Dortmund-Munich,5087.9
26/01/2019,Dortmund-Frankfurt,4982.85
26/01/2019,Dortmund-Stuttgart,5257.19
26/01/2019,Munich-Frankfurt,4885.9
26/01/2019,Munich-Stuttgart,5078.54
26/01/2019,Frankfurt-Stuttgart,4820.85
26/01/2019,Hamburg-Berlin,6085.89
26/01/2019,Hamburg-Frankfurt,5314.11
26/01/2019,Hamburg-Stuttgart,5020.11
26/01/2019,Hamburg-Munich,5385.59
26/01/2019,Cologne-Berlin,5255.07
26/01/2019,Cologne-Munich,5211.61
26/01/2019,Cologne-Frankfurt,5545.67
26/01/2019,Cologne-Stuttgart,5603.0
27/01/2019,Berlin-Dortmund,5087.8
27/01/2019,Berlin-Munich,5069.67
27/01/2019,Berlin-Frankfurt,5189.98
27/01/2019,Berlin-Stuttgart,4379.23
27/01/2019,Dortmund-Munich,4693.92
27/01/2019,Dortmund-Frankfurt,5846.75
27/01/2019,Dortmund-Stuttgart,5957.99
27/01/2019,Munich-Frankfurt,5200.39
27/01/2019,Munich-Stuttgart,5530.62
27/01/2019,Frankfurt-Stuttgart,5424.5
27/01/2019,Hamburg-Berlin,6531.55
27/01/2019,Hamburg-Frankfurt,5747.83
27/01/2019,Hamburg-Stuttgart,5248.83
27/01/2019,Hamburg-Munich,4917.78
27/01/2019,Cologne-Berlin,4657.42
27/01/2019,Cologne-Munich,5381.39
27/01/2019,Cologne-Frankfurt,4997.46
27/01/2019,Cologne-Stuttgart,4731.1
28/01/2019,Berlin-Dortmund,5041.37
28/01/2019,Berlin-Munich,4867.38
28/01/2019,Berlin-Frankfurt,5974.86
28/01/2019,Berlin-Stuttgart,5652.66
28/01/2019,Dortmund-Munich,5296.81
28/01/2019,Dortmund-Frankfurt,5891.98
28/01/2019,Dortmund-Stuttgart,5330.95
28/01/2019,Munich-Frankfurt,4955.49
28/01/2019,Munich-Stuttgart,5909.25
28/01/2019,Frankfurt-Stuttgart,5515.56
28/01/2019,Hamburg-Berlin,4885.1
28/01/2019,Hamburg-Frankfurt,5223.86
28/01/2019,Hamburg-Stuttgart,4949.75
28/01/2019,Hamburg-Munich,4746.88
28/01/2019,Cologne-Berlin,5670.47
28/01/2019,Cologne-Munich,6063.77
28/01/2019,Cologne-Frankfurt,4740.57
28/01/2019,Cologne-Stuttgart,5525.19
29/01/2019,Berlin-Dortmund,5039.74
29/01/2019,Berlin-Munich,5105.15
29/01/2019,Berlin-Frankfurt,5063.04
29/01/2019,Berlin-Stuttgart,4954.4
29/01/2019,Dortmund-Munich,5319.41
29/01/2019,Dortmund-Frankfurt,4967.62
29/01/2019,Dortmund-Stuttgart,5408.18
29/01/2019,Munich-Frankfurt,5279.9
29/01/2019,Munich-Stuttgart,5204.42
29/01/2019,Frankfurt-Stuttgart,4936.97
29/01/2019,Hamburg-Berlin,5069.29
29/01/2019,Hamburg-Frankfurt,5602.16
29/01/2019,Hamburg-Stuttgart,5500.37
29/01/2019,Hamburg-Munich,4908.98
29/01/2019,Cologne-Berlin,5339.73
29/01/2019,Cologne-Munich,5600.55
29/01/2019,Cologne-Frankfurt,4632.24
29/01/2019,Cologne-Stuttgart,5517.34
30/01/2019,Berlin-Dortmund,5034.95
30/01/2019,Berlin-Munich,5528.24
30/01/2019,Berlin-Frankfurt,4994.7
30/01/2019,Berlin-Stuttgart,4578.05
30/01/2019,Dortmund-Munich,4648.98
30/01/2019,Dortmund-Frankfurt,5319.23
30/01/2019,Dortmund-Stuttgart,5403.89
30/01/2019,Munich-Frankfurt,4938.27
30/01/2019,Munich-Stuttgart,5555.44
30/01/2019,Frankfurt-Stuttgart,4635.39
30/01/2019,Hamburg-Berlin,5273.57
30/01/2019,Hamburg-Frankfurt,4815.59
30/01/2019,Hamburg-Stuttgart,5039.27
30/01/2019,Hamburg-Munich,5318.96
30/01/2019,Cologne-Berlin,4955.83
30/01/2019,Cologne-Munich,5146.18
30/01/2019,Cologne-Frankfurt,5702.52
30/01/2019,Cologne-Stuttgart,5069.24
31/01/2019,Berlin-Dortmund,5634.28
31/01/2019,Berlin-Munich,4848.12
31/01/2019,Berlin-Frankfurt,5511.92
31/01/2019,Berlin-Stuttgart,5876.63
31/01/2019,Dortmund-Munich,4311.34
31/01/2019,Dortmund-Frankfurt,4981.24
31/01/2019,Dortmund-Stuttgart,5530.83
31/01/2019,Munich-Frankfurt,5218.78
31/01/2019,Munich-Stuttgart,5448.46
31/01/2019,Frankfurt-Stuttgart,5058.41
31/01/2019,Hamburg-Berlin,5334.64
31/01/2019,Hamburg-Frankfurt,5237.73
31/01/2019,Hamburg-Stuttgart,5767.11
31/01/2019,Hamburg-Munich,5401.77
31/01/2019,Cologne-Berlin,5435.04
31/01/2019,Cologne-Munich,5135.25
31/01/2019,Cologne-Frankfurt,5104.96
31/01/2019,Cologne-Stuttgart,5126.98
01/02/2019,Berlin-Dortmund,5457.78
01/02/2019,Berlin-Munich,5131.61
01/02/2019,Berlin-Frankfurt,5415.91
01/02/2019,Berlin-Stuttgart,6130.16
01/02/2019,Dortmund-Munich,5648.45
01/02/2019,Dortmund-Frankfurt,5169.59
01/02/2019,Dortmund-Stuttgart,5780.49
01/02/2019,Munich-Frankfurt,5136.77
01/02/2019,Munich-Stuttgart,4484.75
01/02/2019,Frankfurt-Stuttgart,4896.77
01/02/2019,Hamburg-Berlin,4551.68
01/02/2019,Hamburg-Frankfurt,5159.39
01/02/2019,Hamburg-Stuttgart,5307.37
01/02/2019,Hamburg-Munich,5970.57
01/02/2019,Cologne-Berlin,5430.77
01/02/2019,Cologne-Munich,5212.36
01/02/2019,Cologne-Frankfurt,5631.76
01/02/2019,Cologne-Stuttgart,4415.55
02/02/2019,Berlin-Dortmund,5394.25
02/02/2019,Berlin-Munich,5608.35
02/02/2019,Berlin-Frankfurt,4708.57
02/02/2019,Berlin-Stuttgart,5757.5
02/02/2019,Dortmund-Munich,5435.4
02/02/2019,Dortmund-Frankfurt,5133.88
02/02/2019,Dortmund-Stuttgart,5553.11
02/02/2019,Munich-Frankfurt,6208.28
02/02/2019,Munich-Stuttgart,5372.75
02/02/2019,Frankfurt-Stuttgart,5399.29
02/02/2019,Hamburg-Berlin,5116.26
02/02/2019,Hamburg-Frankfurt,4960.06
02/02/2019,Hamburg-Stuttgart,5632.13
02/02/2019,Hamburg-Munich,4957.57
02/02/2019,Cologne-Berlin,5328.63
02/02/2019,Cologne-Munich,5108.94
02/02/2019,Cologne-Frankfurt,5491.59
02/02/2019,Cologne-Stuttgart,5433.46
03/02/2019,Berlin-Dortmund,5715.02
03/02/2019,Berlin-Munich,5095.99
